ID,Question,Category,Difficulty,Source,Final Score,Passed,Relevance,Faithfulness,Correctness,Completeness,Semantic Sim,Keyword Cov,Latency (ms),Failure Reasons
1,Türkiye Cumhuriyeti hangi niteliklere sahip bir devlettir?,olgusal,kolay,T.C. Anayasası,0.848,No,0.80,0.70,0.90,0.80,0.92,0.91,3073,Context'e sadakatsiz (0.70)
2,Cumhurbaşkanının görev süresi ne kadardır?,olgusal,kolay,T.C. Anayasası,0.975,Yes,1.00,1.00,1.00,1.00,0.93,0.75,2675,
3,Temel hak ve hürriyetler hangi durumlarda sınırlandırılabilir?,kavramsal,orta,T.C. Anayasası,0.978,Yes,1.00,1.00,1.00,1.00,0.89,0.60,3266,
4,Deneme süreli iş sözleşmesi ne kadardır?,olgusal,kolay,4857 Sayılı İş Kanunu,0.939,Yes,1.00,0.90,1.00,0.90,0.91,0.71,3264,
5,Yıllık ücretli izin süresi nasıl hesaplanır?,olgusal,orta,4857 Sayılı İş Kanunu,0.822,No,1.00,0.80,0.90,0.80,0.90,0.50,3338,Sayısal tutarsızlık (0.00)
6,Fazla çalışma ve fazla sürelerle çalışma arasındaki fark nedir?,karşılaştırma,orta,4857 Sayılı İş Kanunu,0.899,Yes,1.00,0.80,0.90,0.80,0.91,0.79,2982,
7,İşverenin iş sözleşmesini haklı nedenle derhal fesih hakkı hangi durumlarda doğar?,kavramsal,zor,4857 Sayılı İş Kanunu,0.823,No,1.00,0.80,0.90,0.80,0.91,0.50,3493,Yanlış/eksik atıf (0.00)
8,Zamanaşımı süreleri Borçlar Kanunu'nda nasıl düzenlenmiştir?,olgusal,orta,6098 Sayılı Türk Borçlar Kanun,0.830,No,1.00,0.80,0.90,0.80,0.90,0.72,3237,Yanlış/eksik atıf (0.00)
9,İş Kanunu'nun 250.  maddesi neyi düzenler?,hallucination_test,orta,out_of_scope_nonexistent,0.526,No,0.20,1.00,0.00,0.00,0.90,1.00,2654,Düşük ilgililik (0.20)
10,Yapay zeka işçinin yerini alırsa tazminat ödenir mi?,edge_case,zor,4857 Sayılı İş Kanunu,0.579,No,0.80,0.40,0.70,0.60,0.90,0.57,2515,Context'e sadakatsiz (0.40); Yanlış/eksik atıf (0.00); Sayısal tutarsızlık (0.00)
